time, state, vote_mechanism, vote_name, short_id
2021-07-28 17:15:38.232, ["0"; "4"; "0"; "0"; "2"], Score Voting, Vote 03, 61622
2021-07-28 17:15:38.660, ["0"; "4"; "0"; "0"; "3"], Score Voting, Vote 03, 61622
2021-07-28 17:15:38.809, ["0"; "4"; "0"; "0"; "4"], Score Voting, Vote 03, 61622
2021-07-28 17:15:38.940, ["0"; "4"; "0"; "0"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:40.809, ["0"; "4"; "1"; "0"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:40.956, ["0"; "4"; "2"; "0"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:41.104, ["0"; "4"; "3"; "0"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:41.242, ["0"; "4"; "4"; "0"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:41.368, ["0"; "4"; "5"; "0"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:41.867, ["0"; "4"; "4"; "0"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:42.452, ["0"; "4"; "4"; "1"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:42.594, ["0"; "4"; "4"; "2"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:42.742, ["0"; "4"; "4"; "3"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:43.016, ["0"; "4"; "4"; "4"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:44.150, ["1"; "4"; "4"; "4"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:44.437, ["2"; "4"; "4"; "4"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:44.595, ["3"; "4"; "4"; "4"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:15:45.278, ["2"; "4"; "4"; "4"; "5"], Score Voting, Vote 03, 61622
2021-07-28 17:16:20.779, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:20.926, ["0"; "0"; "0"; "1"; "2"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:21.079, ["0"; "0"; "1"; "2"; "3"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:21.805, ["0"; "0"; "0"; "1"; "2"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:22.308, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:22.897, ["0"; "0"; "0"; "0"; "0"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:23.761, ["0"; "0"; "1"; "0"; "0"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:24.377, ["0"; "0"; "0"; "0"; "0"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:24.863, ["0"; "0"; "1"; "0"; "0"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:26.372, ["0"; "0"; "2"; "0"; "1"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:27.701, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:28.248, ["0"; "0"; "1"; "0"; "2"], Modified Borda Count, Vote 04, 61622
2021-07-28 17:16:29.014, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 61622
